IdCliente;Ciudad;Antiguedad;PlanInternacional;BuzonDeVoz;PromMinUsadosDia;PromNumLlamadasDia;PromMinUsadosTarde;PromNumLlamadasTarde;PromMinUsadosNoche;PromNumLlamadasNoche;TotalMinsIntnl;TotalLlamadasIntnl;TotalLlamadasCallCenter;Estado
45;KS;132;No;No;164.0;112;243.6;80;155.5;122;10.2;10.2;1;Vinculado
46;IA;46;No;No;199.2;111;175.1;83;210.6;84;10.2;10.2;3;Vinculado
47;OH;162;No;No;135.2;98;242.0;107;246.9;96;10.2;10.2;2;Vinculado
48;MT;157;No;No;240.2;67;153.0;98;249.0;72;10.2;10.2;2;Vinculado
49;RI;83;No;No;259.7;106;152.7;116;224.7;92;10.2;10.2;0;Vinculado
50;MO;36;No;No;202.4;115;230.7;115;202.0;127;10.2;10.2;3;Vinculado
51;NH;112;No;No;124.4;109;196.1;119;166.1;89;10.2;10.2;2;Vinculado
52;WA;143;No;No;133.4;107;223.9;117;180.4;85;10.2;10.2;1;Vinculado
53;NY;106;No;No;158.7;74;64.3;139;198.5;103;10.2;10.2;1;Vinculado
54;AL;16;No;No;161.9;100;230.1;138;148.8;78;10.2;10.2;3;Vinculado
55;IA;102;No;No;171.5;77;261.0;107;328.8;72;10.2;10.2;0;Vinculado
56;IN;100;No;No;216.2;107;215.6;84;138.4;127;10.2;10.2;0;Vinculado
57;HI;174;No;No;187.4;74;144.6;142;235.7;102;10.2;10.2;1;Vinculado
58;KY;147;No;No;212.8;79;204.1;91;156.2;113;10.2;10.2;1;Vinculado
59;AR;110;No;No;55.3;102;164.7;124;200.7;108;10.2;10.2;1;Vinculado
60;IN;81;No;No;175.5;67;249.3;85;270.2;98;10.2;10.2;1;Vinculado
61;NC;126;No;No;228.2;68;170.2;102;168.9;72;10.2;10.2;1;Vinculado
62;AK;59;No;No;159.5;96;167.2;123;138.6;106;10.2;10.2;0;Vinculado
63;MO;132;No;No;206.2;100;211.2;118;196.2;122;10.2;10.2;1;Vinculado
64;KY;109;No;No;175.6;80;238.0;94;198.4;103;10.2;10.2;1;Vinculado
65;NE;100;No;No;220.3;106;126.1;124;242.0;67;10.2;10.2;3;Vinculado
66;SD;131;No;No;187.9;110;200.5;101;202.6;125;10.2;10.2;2;Vinculado
67;NM;68;No;No;131.6;89;137.0;109;256.3;107;10.2;10.2;3;Vinculado
68;MN;68;No;No;226.7;94;168.4;129;188.7;117;10.2;10.2;0;Vinculado
69;IN;51;;No;214.8;94;149.7;58;283.4;66;10.2;10.2;0;
70;AL;166;Si;No;191.3;120;167.3;88;162.9;110;10.2;10.2;2;Retirado
71;SC;41;No;No;237.8;92;223.5;155;217.4;90;10.2;10.2;2;Vinculado
72;VA;100;No;No;200.7;151;290.8;127;186.7;105;10.2;10.2;1;Vinculado
73;MO;106;No;No;114.4;104;78.3;101;232.7;78;0.0;0.0;2;Vinculado
74;PA;147;No;No;188.3;80;214.7;123;218.0;89;10.2;10.2;2;Vinculado
75;KS;124;No;No;158.6;104;211.2;77;179.3;104;10.2;10.2;3;Vinculado
76;WI;143;No;No;194.3;99;123.6;133;229.5;99;10.2;10.2;2;Vinculado
77;FL;120;No;No;184.5;103;209.0;86;169.7;70;10.2;10.2;2;Vinculado
78;WV;193;No;No;180.5;114;117.9;80;192.9;97;10.2;10.2;2;Vinculado
79;ID;43;No;No;253.6;110;253.3;92;161.3;103;10.2;10.2;3;Retirado
80;MT;83;No;No;185.9;115;232.5;98;205.2;124;10.2;10.2;2;Vinculado
81;MN;30;No;No;54.0;68;179.3;96;247.2;101;10.2;10.2;1;Vinculado
82;UT;78;No;No;193.1;85;172.1;105;129.6;119;10.2;10.2;0;Vinculado
83;MN;113;No;No;198.6;115;258.0;106;245.8;104;10.2;10.2;1;Retirado
84;MS;137;No;No;147.2;119;192.8;91;172.7;105;10.2;10.2;1;Vinculado
85;NE;154;No;No;191.4;93;205.4;119;205.7;121;10.2;10.2;3;Vinculado
86;MI;61;No;No;188.9;105;153.6;116;213.3;106;10.2;10.2;2;Vinculado
87;SD;98;No;No;307.2;65;138.6;97;381.6;99;10.2;10.2;2;Retirado
88;WY;32;No;No;171.2;82;185.6;102;203.3;64;10.2;10.2;1;Vinculado
89;WY;67;No;No;125.0;96;294.5;114;205.7;75;10.2;10.2;1;Retirado
90;UT;100;No;No;179.1;123;196.6;132;186.7;116;10.2;10.2;1;Vinculado
91;NV;89;No;No;134.9;59;156.0;152;197.5;112;10.2;10.2;1;Vinculado
92;NM;69;No;No;111.3;110;226.8;107;187.6;66;10.2;10.2;1;Vinculado
93;IN;129;No;No;137.8;120;225.8;110;145.2;95;10.2;10.2;1;Retirado
94;OK;109;Si;No;166.5;101;268.4;119;126.2;112;10.2;10.2;3;Vinculado
95;GA;44;No;No;288.1;112;258.0;92;192.4;90;10.2;10.2;3;Retirado
96;IA;73;No;No;137.1;102;210.8;114;191.4;120;11.1;11.1;1;Vinculado
97;MD;93;;No;131.4;78;219.7;106;155.7;103;11.1;11.1;1;
98;NJ;24;No;No;265.6;86;208.8;102;182.5;105;11.1;11.1;2;Retirado
99;WA;112;No;No;135.1;112;226.3;85;115.2;108;11.1;11.1;1;Vinculado
100;MI;126;No;No;193.1;114;75.5;61;186.2;73;11.1;11.1;3;Vinculado
101;MS;124;No;No;251.5;85;214.2;98;186.1;71;11.1;11.1;3;Vinculado
102;AK;110;No;No;100.1;90;233.3;93;204.4;57;11.1;11.1;3;Vinculado
103;CA;60;Si;No;183.0;110;206.7;93;203.8;119;11.1;11.1;1;Vinculado
104;NE;136;No;No;259.0;105;166.9;125;255.1;107;11.1;11.1;3;Vinculado
105;MA;113;No;No;193.1;93;206.4;85;215.9;102;11.1;11.1;1;Vinculado
106;ID;69;Si;No;199.7;121;189.4;92;264.0;120;11.1;11.1;6;Retirado
107;CO;135;Si;No;177.2;151;209.3;83;236.3;114;11.1;11.1;2;Vinculado
108;OR;1;No;No;195.0;81;266.2;123;213.9;132;11.1;11.1;0;Vinculado
109;GA;120;No;No;147.7;101;144.1;71;237.0;115;11.1;11.1;0;Vinculado
110;DE;63;No;No;117.1;118;249.6;90;162.2;84;11.1;11.1;3;Vinculado
111;NY;139;No;No;236.6;109;169.9;107;212.3;118;11.1;11.1;1;Retirado
112;MN;133;No;No;128.9;85;201.4;93;275.3;103;11.1;11.1;1;Vinculado
113;HI;63;No;No;112.5;95;211.2;67;227.5;96;11.1;11.1;0;Vinculado
114;ID;42;Si;No;260.9;94;152.8;123;212.6;94;11.1;11.1;1;Vinculado
115;DC;82;No;No;143.9;61;194.9;105;109.6;94;11.1;11.1;1;Vinculado
116;OH;97;No;No;256.4;125;273.9;100;222.7;101;11.1;11.1;1;Retirado
117;WV;131;No;No;256.6;96;;113;190.2;91;11.1;11.1;1;Retirado
118;NE;94;No;No;252.6;104;169.0;125;170.9;106;11.1;11.1;2;Vinculado
119;OH;54;No;No;255.4;122;22.3;87;152.6;72;11.1;11.1;0;Vinculado
120;NY;91;No;No;109.8;100;189.6;104;206.7;85;11.1;11.1;1;Vinculado
121;WV;43;No;No;168.4;125;243.8;89;214.7;102;11.1;11.1;1;Vinculado
122;WV;7;No;No;170.2;83;137.2;123;188.0;67;11.1;11.1;2;Vinculado
123;FL;161;Si;No;156.1;114;180.3;63;179.6;115;11.1;11.1;2;Vinculado
124;CT;45;No;No;142.4;107;318.7;78;224.1;108;11.1;11.1;1;Vinculado
125;SC;89;;No;159.4;126;207.0;108;141.6;121;11.1;11.1;1;
126;NE;105;No;No;162.3;99;212.5;95;214.7;114;11.1;11.1;4;Vinculado
127;HI;141;No;No;138.2;94;176.4;84;182.9;110;11.1;11.1;3;Vinculado
128;KS;167;No;No;131.6;120;211.3;96;168.3;97;11.1;11.1;4;Retirado
129;ID;72;Si;No;101.0;110;240.0;70;333.5;105;11.1;11.1;0;Vinculado
130;MD;117;No;No;223.7;73;205.2;69;282.9;51;11.1;11.1;2;Vinculado
131;RI;73;No;No;241.7;115;168.5;133;169.8;122;11.1;11.1;2;Vinculado
132;HI;49;No;No;119.3;117;215.1;109;178.7;90;11.1;11.1;1;Vinculado
133;IA;75;No;No;138.5;110;153.2;86;215.6;103;11.1;11.1;1;Vinculado
134;NY;119;No;No;133.4;102;204.6;71;196.9;103;11.1;11.1;1;Vinculado
135;MA;101;No;No;189.0;122;179.2;91;186.8;170;11.1;11.1;0;Vinculado
136;WI;116;No;No;152.4;101;191.0;90;143.0;96;11.1;11.1;0;Vinculado
137;WA;137;No;No;208.8;120;225.3;100;221.6;130;11.1;11.1;0;Vinculado
138;ND;102;No;No;69.7;85;226.5;107;128.5;104;11.1;11.1;2;Vinculado
139;CO;65;No;No;131.5;119;222.3;119;155.3;83;11.1;11.1;1;Vinculado
140;ND;55;No;No;180.1;77;235.5;98;169.4;104;11.1;11.1;0;Vinculado
141;VT;120;No;No;149.2;98;193.6;88;248.9;119;11.1;11.1;1;Vinculado
142;IL;71;No;No;112.1;122;157.9;86;271.6;104;11.1;11.1;0;Vinculado
143;AK;41;No;No;159.3;66;125.9;75;261.9;76;11.1;11.1;1;Vinculado
144;NC;129;No;No;54.7;131;256.1;105;176.6;135;11.1;11.1;1;Vinculado
145;HI;148;Si;No;218.9;88;208.0;85;203.3;99;11.1;11.1;0;Vinculado
146;WA;45;No;No;135.0;116;159.0;108;170.3;130;11.1;11.1;1;Vinculado
147;AL;12;No;No;239.7;112;221.1;122;207.3;109;11.1;11.1;2;Vinculado
148;NV;25;No;No;250.1;108;221.9;97;208.5;84;11.1;11.1;2;Vinculado
149;LA;133;No;No;172.2;81;214.9;123;184.3;90;11.1;11.1;3;Vinculado
150;OR;61;No;No;234.2;76;216.7;108;130.6;122;13.9;13.9;1;Vinculado
151;NJ;128;No;No;237.9;125;247.6;93;208.9;68;13.9;13.9;1;Retirado
152;NV;105;No;No;98.2;103;140.3;91;140.2;106;13.9;13.9;1;Vinculado
153;UT;94;;No;183.1;109;199.4;109;214.1;71;13.9;13.9;0;
154;NJ;127;No;No;245.2;91;217.2;92;243.1;128;13.9;13.9;0;Retirado
155;NC;58;No;No;112.2;95;209.6;108;260.9;78;13.9;13.9;0;Retirado
156;PA;119;No;No;287.1;115;159.3;99;216.8;86;13.9;13.9;2;Retirado
157;TN;45;Si;No;189.6;96;171.7;69;222.0;102;13.9;13.9;1;Retirado
158;NC;80;Si;No;189.1;122;223.2;92;269.0;116;13.9;13.9;2;Retirado
159;ND;117;Si;No;158.1;101;315.1;96;176.1;108;13.9;13.9;3;Retirado
160;MT;101;No;No;154.4;130;217.2;101;185.4;52;13.9;13.9;1;Vinculado
161;MS;143;No;No;155.4;112;290.9;92;228.4;91;13.9;13.9;1;Vinculado
162;NC;80;No;No;196.0;75;237.8;112;220.1;127;13.9;13.9;1;Vinculado
163;TX;38;No;No;149.0;92;49.2;78;163.3;93;13.9;13.9;0;Vinculado
164;WY;127;Si;No;242.2;102;226.1;80;252.0;96;13.9;13.9;2;Retirado
165;TX;140;No;No;194.8;107;170.9;99;225.1;93;13.9;13.9;0;Vinculado
166;NM;132;No;No;214.6;78;251.7;98;240.8;88;13.9;13.9;0;Vinculado
167;CT;160;No;No;234.9;136;270.8;134;219.3;101;13.9;13.9;1;Retirado
168;GA;117;No;No;110.4;122;242.9;103;170.4;75;13.9;13.9;1;Vinculado
169;NH;74;No;No;154.3;71;262.3;105;235.3;99;13.9;13.9;0;Vinculado
170;NJ;59;No;No;195.0;58;198.5;88;304.3;110;14.8;14.8;0;Vinculado
171;CO;119;No;No;124.3;68;207.1;88;157.4;93;14.8;14.8;0;Vinculado
172;AR;32;Si;No;265.5;75;119.7;77;169.9;128;14.8;14.8;2;Retirado
173;RI;137;No;No;209.1;104;189.4;96;214.4;83;14.8;14.8;3;Vinculado
174;WA;55;No;No;285.7;124;230.9;106;230.7;140;14.8;14.8;0;Retirado
175;TX;98;No;No;158.5;90;254.4;67;178.4;104;14.8;14.8;2;Vinculado
176;NM;20;No;No;131.5;64;161.8;124;158.6;106;14.8;14.8;0;Vinculado
177;MA;88;No;No;264.8;124;245.4;112;160.5;115;14.8;14.8;1;Retirado
178;NE;73;No;No;198.3;94;279.3;101;146.2;87;14.8;14.8;3;Vinculado
179;OK;17;No;No;180.4;121;228.5;111;199.5;99;14.8;14.8;0;Vinculado
180;NY;32;No;No;164.8;98;229.9;96;167.3;108;14.8;14.8;2;Vinculado
181;UT;91;;No;142.6;90;286.8;102;222.2;113;14.8;14.8;0;
182;UT;133;No;No;338.4;86;234.6;97;264.8;139;14.8;14.8;3;Retirado
183;CT;56;No;No;162.3;99;149.1;78;255.5;115;14.8;14.8;4;Retirado
184;IL;117;No;No;228.3;84;152.6;92;309.7;101;3.7;3.7;3;Vinculado
185;MN;85;No;No;255.3;114;194.6;83;276.6;78;3.7;3.7;3;Vinculado
186;SC;1;No;No;123.8;113;236.2;77;73.2;81;3.7;3.7;0;Vinculado
187;NC;165;No;No;207.7;109;164.8;94;54.5;91;7.9;7.9;0;Vinculado
188;NV;148;No;No;279.3;104;201.6;87;280.8;99;7.9;7.9;2;Retirado
189;VA;58;No;No;181.4;106;145.8;77;200.3;85;7.9;7.9;0;Vinculado
190;MI;128;No;No;179.4;94;270.4;92;191.0;88;7.9;7.9;0;Vinculado
191;ND;94;No;No;174.0;85;241.1;114;207.8;94;7.9;7.9;1;Vinculado
192;MS;78;No;No;108.6;108;209.9;126;222.6;117;7.9;7.9;1;Retirado
193;NY;114;No;No;139.8;152;215.9;76;96.9;111;7.9;7.9;2;Vinculado
194;SD;88;No;No;177.8;112;226.5;80;221.8;71;7.9;7.9;1;Vinculado
195;WA;70;No;No;229.3;110;118.2;89;155.0;105;7.9;7.9;1;Vinculado
196;NE;112;Si;No;195.7;123;141.9;124;136.4;72;7.9;7.9;1;Vinculado
197;WV;88;No;No;131.5;99;174.8;128;184.2;83;7.9;7.9;5;Retirado
198;OR;60;No;No;203.7;95;212.6;122;177.1;103;7.9;7.9;3;Vinculado
199;KY;60;No;No;135.4;134;205.9;85;204.0;103;7.9;7.9;1;Vinculado
200;AR;80;No;No;124.3;100;173.0;107;253.2;62;7.9;7.9;1;Vinculado
201;KS;112;No;No;109.0;126;;106;208.3;92;7.9;7.9;1;Vinculado
202;WV;48;No;No;275.2;67;180.2;108;159.0;110;7.9;7.9;1;Vinculado
203;MI;146;No;No;149.3;83;187.1;130;149.8;100;7.9;7.9;7;Retirado
204;LA;53;No;No;145.1;116;233.7;82;208.7;95;7.9;7.9;2;Vinculado
205;CO;157;No;No;196.0;74;213.4;96;196.8;81;7.9;7.9;1;Vinculado
206;ID;118;No;No;140.4;112;187.1;60;207.9;155;7.9;7.9;0;Vinculado
207;NV;94;Si;No;89.5;94;339.9;106;172.9;76;7.9;7.9;1;Retirado
208;FL;116;No;No;192.1;98;312.9;135;130.2;94;7.9;7.9;3;Vinculado
209;MD;79;;No;213.4;107;176.2;82;180.1;125;7.9;7.9;0;
210;ND;88;No;No;161.5;92;173.5;108;206.2;95;7.9;7.9;2;Vinculado
211;WY;91;No;No;34.5;85;192.3;80;256.3;71;7.9;7.9;0;Vinculado
212;OR;100;No;No;152.7;98;212.4;73;264.5;90;7.9;7.9;2;Vinculado
213;NV;116;No;No;110.9;54;213.4;82;186.2;116;7.9;7.9;2;Vinculado
214;OR;99;No;No;256.4;44;214.5;105;233.7;75;7.9;7.9;3;Retirado
215;GA;111;Si;No;177.1;102;249.1;102;153.3;66;8.8;8.8;2;Vinculado
216;NJ;107;No;No;156.3;75;215.3;93;118.2;115;8.8;8.8;1;Vinculado
217;ND;122;No;No;231.2;141;267.8;136;240.3;100;8.8;8.8;1;Retirado
218;DE;95;No;No;145.4;98;334.1;109;209.8;72;8.8;8.8;1;Vinculado
219;OK;149;Si;No;180.9;79;194.9;83;197.8;109;8.8;8.8;3;Vinculado
220;KY;124;No;No;156.9;74;195.8;82;181.0;99;8.8;8.8;1;Vinculado
221;MN;115;No;No;200.2;92;244.9;107;190.9;96;8.8;8.8;1;Vinculado
222;ME;79;No;No;213.6;110;234.9;121;229.6;157;8.8;8.8;2;Vinculado
223;OR;88;No;No;192.6;96;184.0;92;173.6;113;8.8;8.8;2;Vinculado
224;FL;106;No;No;159.6;94;276.8;118;223.5;65;8.8;8.8;0;Vinculado
225;SC;93;No;No;190.2;68;262.2;64;130.0;92;8.8;8.8;0;Vinculado
226;MA;116;No;No;119.0;94;144.3;110;199.7;65;8.8;8.8;2;Vinculado
227;MO;42;No;No;184.5;98;200.5;93;279.2;91;8.8;8.8;2;Vinculado
228;OK;71;No;No;123.8;130;226.5;91;213.9;96;8.8;8.8;2;Vinculado
229;HI;106;No;No;147.9;97;209.3;99;162.1;80;8.8;8.8;2;Vinculado
230;OH;127;No;No;139.6;94;240.9;112;127.1;88;8.8;8.8;2;Vinculado
231;HI;99;No;No;135.7;107;208.4;103;209.0;95;8.8;8.8;7;Retirado
232;CO;159;Si;No;257.1;53;312.2;127;183.0;82;8.8;8.8;1;Retirado
233;NM;174;No;No;239.2;72;188.5;124;105.6;116;8.8;8.8;1;Vinculado
234;CO;88;No;No;61.9;78;262.6;114;212.5;110;8.8;8.8;3;Vinculado
235;MI;101;No;No;190.7;72;208.6;103;203.8;111;8.8;8.8;1;Vinculado
236;WA;121;No;No;255.1;93;266.9;97;197.7;118;8.8;8.8;3;Retirado
237;MA;132;;No;117.6;66;214.0;108;239.5;94;8.8;8.8;1;
238;MI;137;No;No;206.4;122;128.0;102;194.5;84;8.8;8.8;2;Vinculado
239;KY;80;No;No;209.9;74;195.1;77;208.2;119;8.8;8.8;2;Vinculado
240;RI;134;No;No;141.7;95;205.6;101;218.5;60;8.8;8.8;0;Vinculado
241;ME;116;No;No;229.3;93;184.5;111;168.2;91;8.8;8.8;2;Vinculado
242;NM;138;No;No;63.7;114;212.2;132;247.6;114;8.8;8.8;0;Vinculado
243;AZ;97;No;No;252.6;89;340.3;91;256.5;67;8.8;8.8;1;Retirado
244;OH;142;Si;No;160.6;101;202.0;125;221.7;100;8.8;8.8;1;Retirado
245;MT;125;No;No;143.2;80;88.1;94;233.2;135;8.8;8.8;4;Retirado
246;VA;82;No;No;172.4;112;131.7;89;182.8;78;8.8;8.8;1;Vinculado
247;DE;97;No;No;225.1;90;279.5;127;233.8;103;8.8;8.8;0;Retirado
248;HI;17;No;No;168.5;102;297.2;130;244.7;117;8.8;8.8;3;Vinculado
249;OK;149;No;No;187.6;83;201.4;81;264.2;79;8.8;8.8;1;Vinculado
250;WY;225;No;No;182.7;142;246.5;63;218.0;103;8.8;8.8;1;Vinculado
251;VT;155;No;No;223.8;109;233.4;68;201.6;111;8.8;8.8;1;Vinculado
252;DC;96;No;No;217.8;120;139.6;109;227.7;111;11.6;11.6;0;Vinculado
253;IN;108;No;No;201.1;101;170.7;86;237.4;113;11.6;11.6;3;Vinculado
254;AL;136;No;No;109.4;91;207.5;111;135.0;107;11.6;11.6;0;Vinculado
255;MO;74;No;No;172.1;105;211.7;99;182.2;105;11.6;11.6;1;Vinculado
256;WV;139;No;No;271.6;130;156.0;131;136.3;108;11.6;11.6;2;Vinculado
257;MS;193;No;No;170.9;124;132.3;95;112.9;89;11.6;11.6;1;Vinculado
258;DC;144;No;No;133.3;101;255.5;127;228.6;68;11.6;11.6;0;Vinculado
259;WV;159;No;No;169.8;114;197.7;105;193.7;82;11.6;11.6;1;Vinculado
260;MT;96;No;No;97.6;98;105.5;118;220.2;105;11.6;11.6;1;Vinculado
261;MN;82;No;No;194.7;105;210.9;100;236.9;143;11.6;11.6;3;Vinculado
262;FL;144;No;No;278.5;95;240.7;90;120.0;90;11.6;11.6;1;Retirado
263;MA;152;No;No;216.7;70;152.7;102;181.2;99;11.6;11.6;1;Vinculado
264;KY;129;No;No;207.7;75;191.3;116;226.7;98;11.6;11.6;2;Vinculado
265;NY;76;;No;223.0;109;218.7;97;138.6;126;11.6;11.6;2;
266;NJ;125;No;No;182.3;64;139.8;121;171.6;96;11.6;11.6;2;Vinculado
267;AZ;138;No;No;240.8;104;144.5;92;125.7;98;11.6;11.6;0;Vinculado
268;PA;140;No;No;220.1;100;182.2;112;250.3;98;11.6;11.6;1;Vinculado
269;MT;21;No;No;254.3;87;215.5;95;236.3;98;11.6;11.6;1;Retirado
270;TX;50;No;No;188.9;94;203.9;104;151.8;124;11.6;11.6;3;Vinculado
271;LA;99;No;No;241.1;72;155.6;98;188.2;109;11.6;11.6;1;Vinculado
272;AL;125;No;No;169.3;90;156.0;138;210.8;106;11.6;11.6;2;Vinculado
273;DC;69;No;No;111.7;86;187.5;68;194.8;128;11.6;11.6;2;Vinculado
274;VT;101;No;No;153.8;89;234.0;89;196.3;77;11.6;11.6;4;Vinculado
275;MI;53;No;No;57.5;95;265.5;131;244.3;128;11.6;11.6;3;Vinculado
276;MA;158;No;No;214.7;112;262.9;115;228.9;68;11.6;11.6;1;Vinculado
277;MI;105;No;No;226.9;106;182.2;77;203.9;107;11.6;11.6;0;Retirado
278;KS;124;No;No;94.8;102;238.9;91;279.4;94;11.6;11.6;2;Vinculado
279;PA;101;Si;No;193.7;108;186.6;98;223.0;100;11.6;11.6;0;Vinculado
280;CA;86;No;No;234.6;102;268.3;109;195.6;102;11.6;11.6;1;Retirado
281;GA;130;No;No;211.4;91;191.0;62;207.3;109;11.6;11.6;1;Vinculado
282;ND;94;No;No;154.8;113;261.8;121;213.0;81;11.6;11.6;0;Vinculado
283;GA;131;No;No;197.0;79;201.0;114;151.2;111;11.6;11.6;1;Vinculado
284;VA;153;No;No;195.4;107;154.6;96;142.8;97;11.6;11.6;1;Vinculado
285;TN;25;No;No;114.4;114;;97;238.4;121;11.6;11.6;3;Vinculado
286;ME;88;No;No;85.7;112;221.6;70;190.6;75;11.6;11.6;4;Retirado
287;CA;111;No;No;249.8;109;242.4;106;231.8;78;11.6;11.6;0;Retirado
288;UT;162;No;No;184.5;118;224.0;95;180.5;82;11.6;11.6;1;Vinculado
289;MI;102;No;No;167.1;80;222.9;94;179.9;103;11.6;11.6;5;Vinculado
290;WV;112;No;No;261.4;108;154.5;102;130.9;90;11.6;11.6;1;Vinculado
291;WY;70;No;No;175.4;130;159.5;130;260.6;96;11.6;11.6;0;Vinculado
292;AL;171;No;No;221.5;103;109.5;58;134.6;115;11.6;11.6;1;Vinculado
293;IL;138;;No;268.4;81;174.4;115;193.5;96;11.6;11.6;1;
294;ME;124;No;No;151.6;119;198.1;93;173.4;91;11.6;11.6;3;Vinculado
295;HI;166;No;No;181.4;108;253.8;54;112.3;94;11.6;11.6;1;Vinculado
296;ME;146;No;No;174.3;113;200.7;107;281.2;145;11.6;11.6;4;Vinculado
297;IL;179;No;No;116.1;101;201.8;99;181.9;103;11.6;11.6;0;Vinculado
298;TN;69;No;No;195.3;70;216.7;108;259.9;119;12.5;12.5;3;Vinculado
299;KS;123;No;No;140.0;106;153.7;101;50.1;87;12.5;12.5;2;Vinculado
300;SD;67;No;No;284.5;104;88.6;71;171.4;93;12.5;12.5;1;Vinculado
301;WV;90;No;No;205.7;138;161.9;83;269.7;104;12.5;12.5;2;Vinculado
302;MT;100;No;No;96.5;86;210.2;133;146.4;106;12.5;12.5;1;Retirado
303;NJ;100;No;No;203.8;122;283.1;76;197.3;83;12.5;12.5;0;Vinculado
304;ME;177;No;No;232.8;106;175.2;97;212.2;77;12.5;12.5;2;Vinculado
305;ND;118;No;No;224.6;94;225.9;120;269.0;105;12.5;12.5;2;Vinculado
306;NV;22;No;No;160.4;108;218.1;88;192.9;115;12.5;12.5;1;Vinculado
